City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Talnakh,69.49,88.4,46.4,100,60,4.47,RU,1598736822
Antipovka,49.83,45.31,65.61,64,58,8.86,RU,1598736822
Sakakah,29.97,40.21,89.6,10,0,10.29,SA,1598736822
Caohe,30.23,115.43,72.41,87,0,1.1,CN,1598736822
Dunstable,51.89,-0.52,54.0,93,90,18.34,GB,1598736823
Emporia,38.4,-96.18,73.4,78,90,6.93,US,1598736639
Jumla,29.27,82.18,58.03,67,15,2.37,NP,1598736823
Anzio,41.49,12.62,80.6,78,5,12.75,IT,1598736824
Ust-Kuyga,70.02,135.6,50.58,53,20,2.44,RU,1598736824
Ahome,25.92,-109.18,80.6,88,90,9.17,MX,1598736824
Sioux Lookout,50.1,-91.92,60.8,63,40,5.82,CA,1598736824
Kwinana,-32.25,115.77,48.99,81,12,9.17,AU,1598736825
Siirt,37.93,41.94,77.11,20,0,3.89,TR,1598736825
Rio Grande,-32.03,-52.1,64.4,93,90,12.75,BR,1598736825
Moju,-1.88,-48.77,86.0,70,40,6.93,BR,1598736825
Novodugino,55.63,34.28,55.4,95,98,9.08,RU,1598736826
Viadana,44.93,10.53,69.8,100,75,5.82,IT,1598736826
Mehamn,71.04,27.85,48.79,81,68,9.35,NO,1598736826
Haines Junction,60.75,-137.51,57.79,51,52,6.89,CA,1598736827
Omboué,-1.57,9.26,74.68,84,100,8.37,GA,1598736827
Badvel,14.75,79.05,80.56,74,100,7.25,IN,1598736828
Verkhoyansk,67.54,133.38,50.41,48,10,3.4,RU,1598736828
Sovetskaya Gavan',48.97,140.29,56.46,73,100,5.06,RU,1598736828
Richards Bay,-28.78,32.04,67.26,69,100,12.59,ZA,1598736828
Torbat-e Jām,35.24,60.62,65.82,27,0,15.12,IR,1598736829
Knysna,-34.04,23.05,44.6,75,16,18.34,ZA,1598736830
Dhidhdhoo,6.88,73.1,83.07,70,93,8.08,MV,1598736830
Imbituba,-28.24,-48.67,68.0,88,11,4.7,BR,1598736831
Mae Sai,20.43,99.88,75.2,100,20,0.76,TH,1598736831
Sørland,67.67,12.69,50.04,66,100,12.93,NO,1598736831
Vao,-22.67,167.48,66.18,68,63,17.74,NC,1598736831
Lüderitz,-26.65,15.16,52.84,65,0,20.24,NA,1598736832
Yamandu,7.94,-11.49,71.74,98,100,1.77,SL,1598736832
Kumul,42.8,93.45,66.33,29,37,3.27,CN,1598736832
Turaif,31.67,38.66,84.2,21,0,13.87,SA,1598736833
Nantucket,41.28,-70.1,72.0,100,90,14.99,US,1598736664
El Reno,35.53,-97.95,86.0,58,1,14.99,US,1598736833
Menongue,-14.66,17.69,66.67,37,36,2.62,AO,1598736833
Iqaluit,63.75,-68.51,59.0,51,75,11.41,CA,1598736834
Bambanglipuro,-7.95,110.28,72.16,84,90,6.98,ID,1598736834
Ridgecrest,35.62,-117.67,100.0,8,0,12.1,US,1598736834
Riyadh,24.69,46.72,87.8,16,60,4.7,SA,1598736834
Beringovskiy,63.05,179.32,48.92,88,100,22.24,RU,1598736835
Tongchuanshi,35.08,109.09,67.8,79,17,2.17,CN,1598736835
Buchanan,5.88,-10.05,75.2,94,75,5.82,LR,1598736835
Narsaq,60.92,-46.05,60.8,31,57,24.16,GL,1598736835
Udomlya,57.88,34.99,53.02,90,96,2.71,RU,1598736836
Brownsville,25.9,-97.5,96.8,50,20,12.75,US,1598736676
Praia da Vitória,38.73,-27.07,77.0,83,20,8.1,PT,1598736836
Moranbah,-22.0,148.05,62.22,71,45,21.0,AU,1598736836
Caravelas,-17.71,-39.25,72.41,87,0,5.41,BR,1598736837
Nuuk,64.18,-51.72,53.6,76,20,3.36,GL,1598736837
Abapó,-18.83,-63.47,86.94,28,21,10.67,BO,1598736837
Hue,16.47,107.6,78.8,83,40,4.7,VN,1598736838
College,64.86,-147.8,60.8,67,75,5.82,US,1598736838
Kyren,51.68,102.14,52.79,83,100,0.87,RU,1598736838
Arrondissement de Lannion,48.75,-3.42,57.2,76,0,8.05,FR,1598736838
Klaksvík,62.23,-6.59,46.4,87,100,4.7,FO,1598736839
Nakasongola,1.31,32.46,64.44,96,72,4.29,UG,1598736839
Shetpe,44.17,52.12,70.3,56,0,6.85,KZ,1598736839
Seymchan,62.88,152.43,46.38,63,93,6.96,RU,1598736840
Chanthaburi,12.83,102.17,79.0,10,30,1.92,TH,1598736840
Chara,56.91,118.26,52.14,69,92,2.19,RU,1598736840
Lagan,45.39,47.37,72.54,41,23,7.07,RU,1598736841
Corat,40.57,49.71,71.6,78,0,11.41,AZ,1598736841
Cooma,-36.23,149.13,42.8,41,0,6.93,AU,1598736841
Inza,53.85,46.36,54.73,94,2,4.14,RU,1598736842
Ugoofaaru,5.67,73.0,82.89,66,100,4.7,MV,1598736842
Lerwick,60.15,-1.15,50.0,76,100,5.82,GB,1598736843
Arlit,18.74,7.39,91.26,42,27,8.48,NE,1598736843
Banjar,-8.19,114.97,77.0,88,40,12.75,ID,1598736843
Darnah,32.77,22.64,76.91,72,0,7.09,LY,1598736844
Port Hardy,50.7,-127.42,62.6,67,75,12.75,CA,1598736844
Bay Roberts,47.6,-53.26,62.01,100,13,1.99,CA,1598736844
Novhorodka,48.37,32.66,68.09,49,0,5.82,UA,1598736844
Mingshui,36.72,117.5,79.0,73,0,2.66,CN,1598736845
Yaring,6.87,101.37,77.94,85,57,4.27,TH,1598736845
Dubbo,-32.25,148.62,39.2,93,0,6.93,AU,1598736845
Acapulco de Juárez,16.86,-99.89,82.4,83,75,6.93,MX,1598736747
Watertown,42.37,-71.18,78.8,78,75,8.05,US,1598736724
Chimbarongo,-34.7,-71.05,55.0,81,75,12.75,CL,1598736846
Viedma,-40.81,-63.0,44.01,36,0,1.99,AR,1598736846
Innisfail,-17.53,146.03,69.37,90,100,11.21,AU,1598736847
Port Lincoln,-34.73,135.87,55.87,73,66,17.43,AU,1598736847
Kuril'sk,45.23,147.88,52.57,78,100,7.83,RU,1598736848
Umm Kaddadah,13.6,26.69,83.89,51,13,4.56,SD,1598736848
Bodø,67.28,14.4,46.0,87,75,4.7,NO,1598736848
Freeport,40.66,-73.58,79.0,88,75,12.75,US,1598736848
Daru,-9.08,143.21,78.17,86,97,18.52,PG,1598736849
‘Āhuimanu,21.44,-157.84,87.8,54,40,11.41,US,1598736849
Lábrea,-7.26,-64.8,89.24,44,99,1.74,BR,1598736624
Kyzyl,51.7,94.45,51.15,82,100,4.56,RU,1598736850
North Platte,41.12,-100.77,82.4,34,1,13.87,US,1598736813
Palana,59.12,159.97,49.55,76,20,11.1,RU,1598736850
Grand-Santi,4.25,-54.38,77.09,92,99,2.39,GF,1598736850
Ponta Delgada,37.73,-25.67,75.2,83,20,6.93,PT,1598736851
Araouane,18.9,-3.53,87.26,47,99,10.09,ML,1598736851
Oromocto,45.84,-66.48,59.0,87,90,11.41,CA,1598736851
Caucayá,-0.19,-74.78,73.69,90,100,0.49,CO,1598736851
Qian’an,44.99,124.06,57.94,97,67,5.5,CN,1598736852
Jining,35.41,116.58,71.53,95,0,1.41,CN,1598736852
Puerto Escondido,15.85,-97.07,86.0,70,75,6.93,MX,1598736852
Okhotsk,59.38,143.3,54.9,49,42,5.23,RU,1598736853
Rosita,13.93,-84.4,86.38,70,53,4.23,NI,1598736853
Kirakira,-10.45,161.92,83.59,75,92,10.22,SB,1598736853
Belaya Gora,68.53,146.42,43.95,74,21,4.41,RU,1598736853
Grindavik,63.84,-22.43,51.8,100,90,12.75,IS,1598736854
Sawākin,19.11,37.33,92.1,39,0,7.11,SD,1598736854
Marrakesh,31.63,-8.01,73.4,46,0,13.87,MA,1598736854
Karasjok,69.47,25.51,46.4,87,99,19.46,NO,1598736855
Neiafu,-18.65,-173.98,78.8,74,40,19.46,TO,1598736855
Fayetteville,35.05,-78.88,89.6,59,90,12.75,US,1598736793
Karratha,-20.74,116.85,74.93,37,0,10.74,AU,1598736856
Smithers,54.78,-127.17,53.6,71,75,4.23,CA,1598736814
Merauke,-8.47,140.33,78.53,84,41,16.62,ID,1598736856
San Fernando del Valle de Catamarca,-28.47,-65.79,73.0,49,23,3.0,AR,1598736645
Campo Grande,-20.44,-54.65,89.6,17,0,4.7,BR,1598736857
Kudahuvadhoo,2.67,72.89,83.14,68,93,5.84,MV,1598736857
Yerbogachën,61.28,108.01,49.37,89,13,3.42,RU,1598736857
Palmela,38.57,-8.9,66.2,68,20,13.87,PT,1598736776
Province of Mantua,45.17,10.78,69.01,93,97,5.5,IT,1598736858
Moose Jaw,50.4,-105.53,86.0,20,20,25.28,CA,1598736858
Niquero,20.04,-77.58,85.73,76,49,5.46,CU,1598736858
Sapozhok,53.94,40.68,55.2,84,99,4.92,RU,1598736858
Verāval,20.9,70.37,78.58,91,100,11.95,IN,1598736859
Superior,46.72,-92.1,75.2,41,40,11.41,US,1598736859
Lata,40.16,-8.33,64.99,76,0,1.01,PT,1598736859
Kindu,-2.95,25.95,69.6,96,100,2.53,CD,1598736860
Miracema do Tocantins,-9.56,-48.4,85.53,22,0,3.91,BR,1598736860
Mushie,-3.02,16.9,76.33,81,100,2.93,CD,1598736860
Seminole,28.71,-81.21,88.0,66,1,13.87,US,1598736707
Izumo,35.37,132.77,77.0,94,20,8.05,JP,1598736861
Port-Cartier,50.03,-66.87,55.4,62,90,8.05,CA,1598736861
Kilindoni,-7.91,39.67,76.21,76,0,9.91,TZ,1598736861
Alice Springs,-23.7,133.88,46.4,31,0,4.7,AU,1598736639
Kemijärvi,66.71,27.43,43.05,83,0,2.57,FI,1598736862
Fethiye,36.62,29.12,73.4,88,0,5.82,TR,1598736862
Suba,10.84,121.01,83.88,75,100,9.71,PH,1598736863
Oskaloosa,41.3,-92.64,80.6,39,1,9.17,US,1598736863
Galesong,-5.32,119.37,75.2,83,20,3.36,ID,1598736863
San Ignacio,17.16,-89.07,91.99,78,20,9.84,BZ,1598736863
Santa Maria,-29.68,-53.81,78.8,69,40,6.93,BR,1598736795
Kupang,-10.17,123.58,73.4,73,20,13.87,ID,1598736864
Makar'yev,57.88,43.81,51.4,97,38,6.29,RU,1598736864
San Andrés,12.58,-81.7,77.0,94,90,2.24,CO,1598736801
Nyurba,63.28,118.33,48.92,94,100,3.06,RU,1598736865
Opuwo,-18.06,13.84,48.85,49,0,1.74,NA,1598736685
Nara,34.69,135.8,82.4,83,75,2.24,JP,1598736865
Barpeta,26.32,91.0,78.94,85,88,1.59,IN,1598736865
Tommot,58.96,126.29,53.71,69,100,3.11,RU,1598736866
Dahuk,36.87,42.99,82.15,15,0,5.35,IQ,1598736866
Baruun-Urt,46.68,113.28,53.11,93,100,12.64,MN,1598736866
Olden,61.84,6.81,48.99,95,97,5.99,NO,1598736867
Biak,-0.91,122.88,76.08,79,100,8.57,ID,1598736867
Walvis Bay,-22.96,14.51,54.0,75,0,15.99,NA,1598736867
Mozarlândia,-14.74,-50.57,83.41,20,0,1.14,BR,1598736867
Omsukchan,62.53,155.8,42.62,82,100,6.15,RU,1598736868
Sergach,55.53,45.47,53.73,94,0,6.49,RU,1598736868
Lamlash,55.53,-5.13,55.4,66,40,3.36,GB,1598736868
Chepareria,1.31,35.2,61.47,81,81,2.15,KE,1598736868
Iwanai,42.97,140.51,64.8,91,100,5.53,JP,1598736869
Scalea,39.81,15.8,79.0,34,0,3.6,IT,1598736869
Chippewa Falls,44.94,-91.39,77.0,38,1,12.75,US,1598736869
Kaoma,-14.78,24.8,69.76,41,52,1.68,ZM,1598736870
Khanpur,28.65,70.66,91.8,50,9,2.93,PK,1598736870
San Quintín,30.48,-115.95,75.56,65,1,14.88,MX,1598736580
Constitución,-35.33,-72.42,52.09,60,3,12.84,CL,1598736870
Zhangjiakou,40.81,114.88,68.27,86,100,7.02,CN,1598736871
Huarmey,-10.07,-78.15,64.98,73,3,11.68,PE,1598736871
Camabatela,-8.19,15.38,64.9,78,81,6.17,AO,1598736871
Mlonggo,-6.53,110.7,75.81,76,100,6.98,ID,1598736871
Porteirinha,-15.74,-43.03,74.41,34,0,8.81,BR,1598736858
Glendive,47.11,-104.71,91.0,19,1,13.87,US,1598736872
Strelka,58.07,93.03,49.46,93,13,1.57,RU,1598736872
Haicheng,40.85,122.75,66.97,90,3,2.68,CN,1598736872
Oxapampa,-10.58,-75.4,70.38,60,33,2.71,PE,1598736873
Ardrishaig,56.02,-5.45,53.01,81,20,9.17,GB,1598736873
Saint-Augustin,51.23,-58.65,59.99,60,49,4.65,CA,1598736873
Madimba,-10.4,40.33,72.99,83,0,8.01,TZ,1598736873
